Experiment,Number of Tasks,Task 2 Response Probability,Inter-task SOA is Predictable,Inter-task SOA,Distractor SOA,Task 1 CSI,Task 2 CSI,Switch Rate,Trial Transition Type,Stimulus-Stimulus Congruency,Stimulus-Response Congruency,Response Set Overlap,Task 1 Stimulus-Response Mapping,Task 2 Stimulus-Response Mapping,Task 1 Cue Type,Task 2 Cue Type,RSI is Predictable,RSI,Task 1 Difficulty,Task 2 Difficulty,Task 1 Type,Task 2 Type,Intra-Trial Task Relationship,Notes,Super_Experiment_Mapping_Notes
Rubin & Meiran (2005) Exp 1 Uni+F ShortCSI Switch Trials,1,0,N/A,N/A,N/A,100,100,50%,Switch,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,1600,3,3,Shape Discrimination,Color Discrimination,Different,"The subjects had to filter out an irrelevant stimulus attribute. This is technically a form of a distractor, but not one that affords a response in the competing task. It might be reasonable to use ""Bivalent-Neutral"" here.","{""block_id"": ""Rubin & Meiran (2005) Exp 1 Uni+F ShortCSI""}"
Rubin & Meiran (2005) Exp 1 Uni+F ShortCSI Repeat Trials,1,0,N/A,N/A,N/A,100,100,50%,Repeat,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,1600,3,3,Shape Discrimination,Color Discrimination,Different,"The subjects had to filter out an irrelevant stimulus attribute. This is technically a form of a distractor, but not one that affords a response in the competing task. It might be reasonable to use ""Bivalent-Neutral"" here.","{""block_id"": ""Rubin & Meiran (2005) Exp 1 Uni+F ShortCSI""}"
Rubin & Meiran (2005) Exp 1 Uni+F LongCSI Pure Trials,1,0,N/A,N/A,N/A,1000,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,Arbitrary,N/A,Yes,2500,3,N/A,Shape/Color Discrimination,N/A,N/A,,
Rubin & Meiran (2005) Exp 1 Uni+F LongCSI Switch Trials,1,0,N/A,N/A,N/A,1000,1000,50%,Switch,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,2500,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Uni+F LongCSI""}"
Rubin & Meiran (2005) Exp 1 Uni+F LongCSI Repeat Trials,1,0,N/A,N/A,N/A,1000,1000,50%,Repeat,Neutral,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,2500,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Uni+F LongCSI""}"
Rubin & Meiran (2005) Exp 1 Biv+F ShortCSI Pure Trials,1,0,N/A,N/A,0,100,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,Arbitrary,N/A,Yes,1600,3,N/A,Shape/Color Discrimination,N/A,N/A,,
Rubin & Meiran (2005) Exp 1 Biv+F ShortCSI Switch Congruent Trials,1,0,N/A,N/A,0,100,100,50%,Switch,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,1600,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Biv+F ShortCSI""}"
Rubin & Meiran (2005) Exp 1 Biv+F ShortCSI Switch Incongruent Trials,1,0,N/A,N/A,0,100,100,50%,Switch,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,1600,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Biv+F ShortCSI""}"
Rubin & Meiran (2005) Exp 1 Biv+F ShortCSI Repeat Congruent Trials,1,0,N/A,N/A,0,100,100,50%,Repeat,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,1600,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Biv+F ShortCSI""}"
Rubin & Meiran (2005) Exp 1 Biv+F ShortCSI Repeat Incongruent Trials,1,0,N/A,N/A,0,100,100,50%,Repeat,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,1600,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Biv+F ShortCSI""}"
Rubin & Meiran (2005) Exp 1 Biv+F LongCSI Pure Congruent Trials,1,0,N/A,N/A,0,1000,N/A,0%,Pure,Congruent,N/A,N/A,Arbitrary,N/A,Arbitrary,N/A,Yes,2500,3,N/A,Shape/Color Discrimination,N/A,N/A,,
Rubin & Meiran (2005) Exp 1 Biv+F LongCSI Switch Congruent Trials,1,0,N/A,N/A,0,1000,1000,50%,Switch,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,2500,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Biv+F LongCSI""}"
Rubin & Meiran (2005) Exp 1 Biv+F LongCSI Switch Incongruent Trials,1,0,N/A,N/A,0,1000,1000,50%,Switch,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,2500,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Biv+F LongCSI""}"
Rubin & Meiran (2005) Exp 1 Biv+F LongCSI Repeat Congruent Trials,1,0,N/A,N/A,0,1000,1000,50%,Repeat,Congruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,2500,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Biv+F LongCSI""}"
Rubin & Meiran (2005) Exp 1 Biv+F LongCSI Repeat Incongruent Trials,1,0,N/A,N/A,0,1000,1000,50%,Repeat,Incongruent,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,2500,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Biv+F LongCSI""}"
"Yeung & Monsell (2003) Exp 1 NoDelay - Incongruent Pure Trials, Word Naming",1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,2,N/A,Word Naming (Vocal),N/A,N/A,Analysis focuses on incongruent Stroop trials,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 NoDelay Incongruent Word Naming""}"
"Yeung & Monsell (2003) Exp 1 NoDelay - Incongruent Pure Trials, Color Naming",1,0,N/A,N/A,0,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,3,N/A,Color Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 NoDelay Incongruent Color Naming""}"
Yeung & Monsell (2003) Exp 1 NoDelay - Incongruent Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,Analysis focuses on incongruent Stroop trials,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 NoDelay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 1 NoDelay - Incongruent Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,Analysis focuses on incongruent Stroop trials,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 NoDelay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
"Yeung & Monsell (2003) Exp 1 NoDelay - Neutral Pure Trials, Word Naming",1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,2,N/A,Word Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 NoDelay Neutral Word Naming""}"
"Yeung & Monsell (2003) Exp 1 NoDelay - Neutral Pure Trials, Color Naming",1,0,N/A,N/A,0,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,3,N/A,Color Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 NoDelay Neutral Color Naming""}"
Yeung & Monsell (2003) Exp 1 NoDelay - Neutral Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,Analysis focuses on neutral (control) Stroop trials,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 NoDelay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 1 NoDelay - Neutral Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,Analysis focuses on neutral (control) Stroop trials,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 NoDelay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
"Yeung & Monsell (2003) Exp 1 160ms delay - Incongruent Pure Trials, Word Naming",1,0,N/A,N/A,160,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,2,N/A,Word Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 160ms delay Incongruent Word Naming""}"
"Yeung & Monsell (2003) Exp 1 160ms delay - Incongruent Pure Trials, Color Naming",1,0,N/A,N/A,160,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,3,N/A,Color Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 160ms delay Incongruent Color Naming""}"
Yeung & Monsell (2003) Exp 1 160ms delay - Incongruent Switch Trials,1,0,N/A,N/A,160,0,0,33%,Switch,Incongruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 160ms delay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 1 160ms delay - Incongruent Repeat Trials,1,0,N/A,N/A,160,0,0,33%,Repeat,Incongruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 160ms delay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
"Yeung & Monsell (2003) Exp 1 160ms delay - Neutral Pure Trials, Word Naming",1,0,N/A,N/A,160,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,2,N/A,Word Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 160ms delay Neutral Word Naming""}"
"Yeung & Monsell (2003) Exp 1 160ms delay - Neutral Pure Trials, Color Naming",1,0,N/A,N/A,160,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,3,N/A,Color Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 160ms delay Neutral Color Naming""}"
Yeung & Monsell (2003) Exp 1 160ms delay - Neutral Switch Trials,1,0,N/A,N/A,160,0,0,33%,Switch,Neutral,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 160ms delay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 1 160ms delay - Neutral Repeat Trials,1,0,N/A,N/A,160,0,0,33%,Repeat,Neutral,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 160ms delay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
"Yeung & Monsell (2003) Exp 1 320ms delay - Incongruent Pure Trials, Word Naming",1,0,N/A,N/A,320,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,2,N/A,Word Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 320ms delay Incongruent Word Naming""}"
"Yeung & Monsell (2003) Exp 1 320ms delay - Incongruent Pure Trials, Color Naming",1,0,N/A,N/A,320,0,N/A,0%,Pure,Incongruent,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,3,N/A,Color Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 320ms delay Incongruent Color Naming""}"
Yeung & Monsell (2003) Exp 1 320ms delay - Incongruent Switch Trials,1,0,N/A,N/A,320,0,0,33%,Switch,Incongruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 320ms delay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 1 320ms delay - Incongruent Repeat Trials,1,0,N/A,N/A,320,0,0,33%,Repeat,Incongruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 320ms delay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
"Yeung & Monsell (2003) Exp 1 320ms delay - Neutral Pure Trials, Word Naming",1,0,N/A,N/A,320,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,2,N/A,Word Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 320ms delay Neutral Word Naming""}"
"Yeung & Monsell (2003) Exp 1 320ms delay - Neutral Pure Trials, Color Naming",1,0,N/A,N/A,320,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,3,N/A,Color Naming (Vocal),N/A,N/A,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 320ms delay Neutral Color Naming""}"
Yeung & Monsell (2003) Exp 1 320ms delay - Neutral Switch Trials,1,0,N/A,N/A,320,0,0,33%,Switch,Neutral,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 320ms delay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 1 320ms delay - Neutral Repeat Trials,1,0,N/A,N/A,320,0,0,33%,Repeat,Neutral,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1000,2,3,Word Naming (Vocal),Color Naming (Vocal),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 1 320ms delay"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 2a Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Disjoint - Category (Same Modality),Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1200,2,3,Digit Naming (Stronger),Odd/Even Classification (Weaker),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 2a"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 2a Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Disjoint - Category (Same Modality),Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1200,2,3,Digit Naming (Stronger),Odd/Even Classification (Weaker),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 2a"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 2b Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Compatible,Incompatible,None/Implicit,None/Implicit,Yes,1200,2,4,Digit Naming (Stronger),Tens-Complement Naming (Weaker),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 2b"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 2b Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Compatible,Incompatible,None/Implicit,None/Implicit,Yes,1200,2,4,Digit Naming (Stronger),Tens-Complement Naming (Weaker),Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 2b"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 Full Overlap - Incongruent Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Identical,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Spoken Digit (Vocal),Different,"Analysis focuses on incongruent trials, Full Response Overlap","{""block_id"": ""Yeung & Monsell (2003) Exp 3 Full Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 Full Overlap - Incongruent Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Spoken Digit (Vocal),Different,"Analysis focuses on incongruent trials, Full Response Overlap","{""block_id"": ""Yeung & Monsell (2003) Exp 3 Full Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
"Yeung & Monsell (2003) Exp 3 Full Overlap - Neutral Pure Trials, Digit Naming",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,2,N/A,"Digit Naming (Stronger, Vocal)",,Different,"Analysis focuses on neutral trials, Full Response Overlap","{""block_id"": ""Yeung & Monsell (2003) Exp 3 Full Overlap Neutral Digit Naming""}"
"Yeung & Monsell (2003) Exp 3 Full Overlap - Neutral Pure Trials, Color Mapping",,0,N/A,N/A,N/A,0,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,Arbitrary,N/A,Yes,1000,3,N/A,Color -> Spoken Digit (Vocal),,Different,,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 Full Overlap Neutral Color Mapping""}"
Yeung & Monsell (2003) Exp 3 Full Overlap - Neutral Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Spoken Digit (Vocal),Different,"Analysis focuses on neutral trials, Full Response Overlap","{""block_id"": ""Yeung & Monsell (2003) Exp 3 Full Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 Full Overlap - Neutral Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Spoken Digit (Vocal),Different,"Analysis focuses on neutral trials, Full Response Overlap","{""block_id"": ""Yeung & Monsell (2003) Exp 3 Full Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 Modality Overlap - Incongruent Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Disjoint - Category (Same Modality),Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Spoken Direction (Vocal),Different,Modality Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 Modality Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 Modality Overlap - Incongruent Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Disjoint - Category (Same Modality),Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Spoken Direction (Vocal),Different,Modality Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 Modality Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
"Yeung & Monsell (2003) Exp 3 Modality Overlap - Neutral Pure Trials, Digit Naming",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,2,N/A,"Digit Naming (Stronger, Vocal)",N/A,N/A,Modality Overlap Group,
"Yeung & Monsell (2003) Exp 3 Modality Overlap - Neutral Pure Trials, Color Mapping",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,Arbitrary,N/A,Yes,1000,3,N/A,Color -> Spoken Direction (Vocal),N/A,N/A,Modality Overlap Group,
Yeung & Monsell (2003) Exp 3 Modality Overlap - Neutral Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Disjoint - Category (Same Modality),Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Spoken Direction (Vocal),Different,Modality Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 Modality Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 Modality Overlap - Neutral Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Disjoint - Category (Same Modality),Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Spoken Direction (Vocal),Different,Modality Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 Modality Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 Category Overlap - Incongruent Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Disjoint - Modality,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Manual Digit Keypress (Manual),Different,Category Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 Category Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 Category Overlap - Incongruent Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Disjoint - Modality,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Manual Digit Keypress (Manual),Different,Category Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 Category Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
"Yeung & Monsell (2003) Exp 3 Category Overlap - Neutral Pure Trials, Digit Naming",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,2,N/A,"Digit Naming (Stronger, Vocal)",N/A,N/A,Category Overlap Group,
"Yeung & Monsell (2003) Exp 3 Category Overlap - Neutral Pure Trials, Color Mapping",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,Arbitrary,N/A,Yes,1000,3,N/A,Color -> Manual Digit Keypress (Manual),N/A,N/A,Category Overlap Group,
Yeung & Monsell (2003) Exp 3 Category Overlap - Neutral Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Disjoint - Modality,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Manual Digit Keypress (Manual),Different,Category Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 Category Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 Category Overlap - Neutral Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Disjoint - Modality,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Manual Digit Keypress (Manual),Different,Category Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 Category Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 No Overlap - Incongruent Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Incongruent,N/A,Disjoint - Modality,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Manual Direction Keypress (Manual),Different,No Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 No Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 No Overlap - Incongruent Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Disjoint - Modality,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Manual Direction Keypress (Manual),Different,No Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 No Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
"Yeung & Monsell (2003) Exp 3 No Overlap - Neutral Pure Trials, Digit Naming",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,Neutral,N/A,N/A,Compatible,N/A,Arbitrary,N/A,Yes,1000,2,N/A,"Digit Naming (Stronger, Vocal)",N/A,N/A,No Overlap Group,
"Yeung & Monsell (2003) Exp 3 No Overlap - Neutral Pure Trials, Color Mapping",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,Arbitrary,N/A,Yes,1000,3,N/A,Color -> Manual Direction Keypress (Manual),N/A,N/A,No Overlap Group,
Yeung & Monsell (2003) Exp 3 No Overlap - Neutral Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Disjoint - Modality,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Manual Direction Keypress (Manual),Different,No Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 No Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Yeung & Monsell (2003) Exp 3 No Overlap - Neutral Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Disjoint - Modality,Compatible,Arbitrary,Arbitrary,Arbitrary,Yes,1000,2,3,"Digit Naming (Stronger, Vocal)",Color -> Manual Direction Keypress (Manual),Different,No Overlap Group,"{""block_id"": ""Yeung & Monsell (2003) Exp 3 No Overlap"", ""viewer_config"":{""sequence_type"":""AABB""}}"
Eriksen & Eriksen 1974 Tgt Alone - Mixed,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Arbitrary,N/A,None/Implicit,N/A,Yes,Not Specified,2,N/A,Letter Identification,N/A,N/A,"Flanker task with four target stimuli mapping to two responses ({S, C} -> left lever, {H, K} -> right lever}. In this condition, the target is presented alone without flankers. This condition was mixed with other conditions where the flankers did appear.",intermixed with noise trials
